student,currProb,course,session,priorTutorAction,reward,cumul_Interaction,Level,0,1,2,3,4,5
0030-F14,5.1.2.0,226-001-BARNES-F14,2,PS,0,56,5,0,0,0,0,0,0
0030-F14,5.1.3.0,226-001-BARNES-F14,2,PS,0.132433356,191,5,0,0,0,0,0,0
0030-F14,6.-1.1.0,226-001-BARNES-F14,2,PS,0,27,6,0,0,0,0,0,0
0030-F14,6.-1.2.0,226-001-BARNES-F14,2,WE,0,37,6,0,0,0,0,0,0
0030-F14,6.-1.3.0,226-001-BARNES-F14,2,WE,0,47,6,0,0,0,0,0,0
0030-F14,6.-1.4.0,226-001-BARNES-F14,2,PS,-36.93262641,150,6,0,0,0,0,0,0
0033-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,52,1,0,0,0,0,0,0
0033-F14,1.0.2.0,226-001-BARNES-F14,4,WE,0,60,1,0,0,0,0,0,0
0033-F14,1.0.3.0,226-001-BARNES-F14,4,WE,0,85,1,0,0,0,0,0,0
0033-F14,1.0.4.0,226-001-BARNES-F14,5,PS,0,122,1,0,0,0,1,0,0
0033-F14,1.0.1.0,226-001-BARNES-F14,5,PS,-34.86842105,134,1,0,0,0,0,0,0
0033-F14,2.1.1.0,226-001-BARNES-F14,5,PS,0,102,2,0,0,3,0,0,0
0033-F14,2.1.2.0,226-001-BARNES-F14,5,WE,0,109,2,0,0,3,0,0,0
0033-F14,2.1.3.0,226-001-BARNES-F14,5,PS,0,122,2,0,0,0,1,0,0
0033-F14,2.1.1.0,226-001-BARNES-F14,5,PS,0,169,2,0,0,0,0,0,0
0033-F14,2.-1.1.0,226-001-BARNES-F14,5,PS,0,189,2,0,0,0,1,0,0
0033-F14,2.-1.4.0,226-001-BARNES-F14,5,PS,32.93293718,203,2,0,0,0,1,0,0
0033-F14,3.1.1.0,226-001-BARNES-F14,5,PS,0,134,3,0,0,0,0,0,0
0033-F14,3.1.2.0,226-001-BARNES-F14,5,WE,0,145,3,0,0,0,0,0,0
0033-F14,3.1.3.0,226-001-BARNES-F14,5,PS,0,271,3,0,0,0,0,0,0
0033-F14,3.1.1.0,226-001-BARNES-F14,5,PS,0,286,3,0,0,0,0,0,0
0033-F14,3.-1.1.0,226-001-BARNES-F14,5,PS,0,516,3,0,0,0,0,0,0
0033-F14,3.-1.4.0,226-001-BARNES-F14,6,PS,-83.3392414,553,3,0,0,0,0,0,0
0033-F14,4.1.1.0,226-001-BARNES-F14,6,WE,0,11,4,0,0,0,0,0,0
0033-F14,4.1.2.0,226-001-BARNES-F14,6,PS,0,175,4,0,0,0,0,0,0
0033-F14,4.1.3.0,226-001-BARNES-F14,6,PS,174.3818681,233,4,0,0,0,0,0,0
0033-F14,5.1.1.0,226-001-BARNES-F14,6,WE,0,10,5,0,0,0,0,0,0
0033-F14,5.1.2.0,226-001-BARNES-F14,6,PS,0,42,5,0,0,0,0,0,0
